2116442.00.0
754250.00.0
753966.00.0
756253.00.0
758720.00.0
744490.00.0
750314.00.0
752290.00.0
771028.00.0
772172.00.0
770462.00.0
768605.00.0
765102.00.0
766213.00.0
769453.00.0
782079.00.0
777627.00.0
773208.00.0
780537.00.0
778653.00.0
769620.00.0
794271.00.0
780032.00.0
781755.00.0
780830.00.0
