880245.00.0
802225.00.0
807193.00.0
804313.00.0
792878.00.0
801465.00.0
765029.00.0
758916.00.0
742915.00.0
765117.00.0
775333.00.0
764879.00.0
767124.00.0
764886.00.0
766757.00.0
770167.00.0
771236.00.0
769615.00.0
770752.00.0
768609.00.0
767660.00.0
770344.00.0
765686.00.0
771746.00.0
772124.00.0
