1.1489948E70.0
3474168.00.0
3477670.00.0
3479692.00.0
3475537.00.0
3509914.00.0
3503528.00.0
3512594.00.0
3511518.00.0
3503140.00.0
3492497.00.0
3540070.00.0
3518979.00.0
3501932.00.0
3490696.00.0
3503378.00.0
3485778.00.0
3494300.00.0
3480067.00.0
3484703.00.0
3496954.00.0
3510531.00.0
3479852.00.0
3493201.00.0
3470319.00.0
