3416725.00.0
81134.00.0
77600.00.0
83515.00.0
90287.00.0
87734.00.0
83712.00.0
81642.00.0
82691.00.0
79024.00.0
80563.00.0
82347.00.0
83691.00.0
83035.00.0
88085.00.0
85274.00.0
87101.00.0
82824.00.0
85179.00.0
85169.00.0
79478.00.0
86913.00.0
88753.00.0
85323.00.0
83840.00.0
