6302785.00.0
6299631.00.0
6338530.00.0
6303907.00.0
6289946.00.0
6297309.00.0
6316821.00.0
6331676.00.0
6314962.00.0
6336635.00.0
6396008.00.0
6342599.00.0
6389303.00.0
6335353.00.0
6362104.00.0
6321475.00.0
6330588.00.0
6362971.00.0
6410946.00.0
6386278.00.0
6386438.00.0
6386647.00.0
6377331.00.0
6390594.00.0
6411296.00.0
