2087.00.0
97.00.0
47.00.0
118.00.0
36.00.0
32.00.0
28.00.0
30.00.0
30.00.0
25.00.0
59.00.0
53.00.0
42.00.0
38.00.0
35.00.0
24.00.0
23.00.0
23.00.0
24.00.0
23.00.0
23.00.0
24.00.0
23.00.0
23.00.0
23.00.0
